"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","strikeout","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_hit_into_play","r_run","r_stolen_base_pct","bacon","barrel","barrel_batted_rate","n_outs_above_average","sprint_speed",""
"Turner, Justin","457759","2023","558","154","100","31","0","23","110",".276",".455",".345","0.800","96","254","1","4","454","86",,".339","26",5.7,,"25.1",
"Santana, Carlos","467793","2023","550","132","75","33","1","23","104",".240",".429",".318","0.747","86","236","0","6","450","78",,".293","30",6.7,,"25.9",
"Goldschmidt, Paul","502671","2023","593","159","103","31","0","25","161",".268",".447",".363","0.810","80","265","2","11","435","89",,".366","52",12,,"26.4",
"Freeman, Freddie","518692","2023","637","211","121","59","2","29","121",".331",".567",".410","0.977","102","361","1","23","521","131",,".405","58",11.1,,"26.7",
"LeMahieu, DJ","518934","2023","497","121","81","22","3","15","125",".243",".390",".327","0.717","44","194","2","2","374","55",,".324","22",5.9,,"25.6",
"Perez, Salvador","521692","2023","538","137","93","21","0","23","135",".255",".422",".292","0.714","80","227","0","0","411","59",,".333","36",8.8,,"24.2",
"Ozuna, Marcell","542303","2023","530","145","75","29","1","40","134",".274",".558",".346","0.904","100","296","0","0","398","84",,".364","66",16.6,,"26.4",
"Semien, Marcus","543760","2023","670","185","112","40","4","29","110",".276",".478",".348","0.826","100","320","3","14","565","122",,".327","37",6.5,,"28.7",
"Springer III, George","543807","2023","613","158","111","25","1","21","125",".258",".405",".327","0.732","72","248","5","20","491","87",,".322","38",7.7,"1","27.8",
"Harper, Bryce","547180","2023","457","134","83","29","1","21","119",".293",".499",".401","0.900","72","228","3","11","342","84",,".392","52",15.2,,"27.6",
"Abreu, Jose","547989","2023","540","128","86","23","1","18","130",".237",".383",".296","0.679","90","207","1","0","416","62",,".308","36",8.7,,"25.5",
"Diaz, Elias","553869","2023","486","130","90","25","1","14","118",".267",".409",".316","0.725","72","199","0","1","372","48",,".349","23",6.2,,"25.0",
"Suarez, Eugenio","553993","2023","598","139","88","29","0","22","214",".232",".391",".323","0.714","96","234","1","2","395","68",,".352","52",13.2,,"26.4",
"Arenado, Nolan","571448","2023","560","149","95","26","2","26","101",".266",".459",".315","0.774","93","257","3","3","467","71",,".319","34",7.3,,"24.9",
"Hernandez, Enrique","571771","2023","465","110","76","23","0","11","97",".237",".357",".289","0.646","61","166","1","4","374","57",,".294","17",4.5,"0","26.9",
"Muncy, Max","571970","2023","482","102","48","17","1","36","153",".212",".475",".333","0.808","105","229","2","1","335","95",,".304","49",14.6,,"26.9",
"Walker, Christian","572233","2023","582","150","79","36","2","33","127",".258",".497",".333","0.830","103","289","0","11","463","86",,".324","53",11.4,,"26.4",
"Canha, Mark","592192","2023","435","114","77","25","1","11","79",".262",".400",".355","0.755","62","174","1","11","362","51",,".315","17",4.7,"-2","27.9",
"Castellanos, Nick","592206","2023","626","170","102","37","2","29","185",".272",".476",".311","0.787","106","298","2","11","447","79",,".380","46",10.3,"-6","27.2",
"Drury, Brandon","592273","2023","485","127","68","30","3","26","136",".262",".497",".306","0.803","83","241","2","0","354","61",,".359","39",11,,"27.0",
"Machado, Manny","592518","2023","543","140","89","21","0","30","109",".258",".462",".319","0.781","91","251","2","3","440","75",,".318","46",10.5,,"26.2",
"Realmuto, J.T.","592663","2023","489","123","70","28","5","20","138",".252",".452",".310","0.762","63","221","5","16","357","70",,".346","40",11.2,,"28.7",
"Renfroe, Hunter","592669","2023","498","116","65","31","0","20","125",".233",".416",".297","0.713","60","207","0","0","376","60",,".309","23",6.1,"-5","26.8",
"Rosario, Eddie","592696","2023","478","122","74","24","3","21","122",".255",".450",".305","0.755","74","215","4","3","359","64",,".341","34",9.5,"3","27.9",
"Yelich, Christian","592885","2023","550","153","99","34","1","19","140",".278",".447",".370","0.817","76","246","3","28","411","106",,".372","38",9.2,"4","28.1",
"Merrifield, Whit","593160","2023","547","149","111","27","0","11","101",".272",".382",".318","0.700","67","209","10","26","452","66",,".330","11",2.4,"-5","28.7",
"Bogaerts, Xander","593428","2023","596","170","118","31","2","19","110",".285",".440",".350","0.790","58","262","2","19","492","83",,".346","30",6.1,,"27.7",
"Profar, Jurickson","595777","2023","459","111","73","27","2","9","90",".242",".368",".321","0.689","46","169","0","1","374","55",,".297","15",4,"-14","25.6",
"Baez, Javier","595879","2023","510","113","82","18","4","9","125",".222",".325",".267","0.592","59","166","0","12","389","58",,".291","20",5.2,,"28.1",
"Lindor, Francisco","596019","2023","602","153","87","33","2","31","137",".254",".470",".336","0.806","98","283","4","31","472","108",,".324","49",10.4,,"28.2",
"Candelario, Jeimer","600869","2023","505","127","63","39","3","22","127",".251",".471",".336","0.807","70","238","1","8","382","77",,".332","30",7.9,,"27.5",
"Bell, Josh","605137","2023","547","135","85","28","0","22","134",".247",".419",".325","0.744","74","229","1","0","416","52",,".325","42",10.1,,"25.9",
"Betts, Mookie","605141","2023","584","179","99","40","1","39","107",".307",".579",".408","0.987","107","338","3","14","482","126",,".371","60",12.4,"-1","27.2",
"Davis, J.D.","605204","2023","480","119","77","23","1","18","152",".248",".412",".325","0.737","69","198","0","1","334","61",,".356","32",9.6,,"25.7",
"Arcia, Orlando","606115","2023","488","129","87","25","0","17","102",".264",".420",".321","0.741","65","205","0","1","389","66",,".332","27",6.9,,"25.9",
"Hernandez, Teoscar","606192","2023","625","161","104","29","2","26","211",".258",".435",".305","0.740","93","272","2","7","421","70",,".382","58",13.8,"0","28.6",
"Marte, Ketel","606466","2023","569","157","97","26","9","25","109",".276",".485",".358","0.843","82","276","2","8","465","94",,".338","37",8,,"27.6",
"Nimmo, Brandon","607043","2023","592","162","102","30","6","24","146",".274",".466",".363","0.829","68","276","3","3","451","89",,".360","43",9.5,"1","28.0",
"Turner, Trea","607208","2023","639","170","104","35","5","26","150",".266",".459",".320","0.779","76","293","0","30","490","102",,".347","41",8.4,,"30.3",
"Ramirez, Jose","608070","2023","611","172","107","36","5","24","73",".282",".475",".356","0.831","80","290","6","28","544","87",,".316","38",7,,"27.8",
"Bregman, Alex","608324","2023","622","163","106","28","4","25","87",".262",".441",".363","0.804","98","274","1","3","537","103",,".304","29",5.4,,"26.3",
"Seager, Corey","608369","2023","477","156","81","42","0","33","88",".327",".623",".390","1.013","96","297","1","2","395","88",,".395","60",15.2,,"26.2",
"Meneses, Joey","608841","2023","611","168","118","36","1","13","130",".275",".401",".321","0.722","89","245","0","0","484","71",,".347","26",5.4,,"25.6",
"Swanson, Dansby","621020","2023","565","138","88","25","3","22","154",".244",".416",".328","0.744","80","235","1","9","413","81",,".334","45",10.9,,"28.4",
"Correa, Carlos","621043","2023","514","118","69","29","2","18","131",".230",".399",".312","0.711","65","205","0","0","386","60",,".306","37",9.6,,"26.6",
"Olson, Matt","621566","2023","608","172","88","27","3","54","167",".283",".604",".389","0.993","139","367","0","1","445","127",,".387","73",16.4,,"26.2",
"Santander, Anthony","623993","2023","591","152","82","41","1","28","152",".257",".472",".325","0.797","95","279","1","5","443","81",,".343","45",10.2,"-2","26.7",
"Alonso, Pete","624413","2023","568","123","54","21","2","46","151",".217",".504",".318","0.822","118","286","1","4","421","92",,".292","62",14.7,,"26.0",
"Soler, Jorge","624585","2023","504","126","66","24","0","36","141",".250",".512",".341","0.853","75","258","0","1","367","77",,".343","55",15,"-3","26.6",
"Cronenworth, Jake","630105","2023","458","105","64","24","7","10","97",".229",".378",".312","0.690","48","173","1","6","367","54",,".287","16",4.4,,"28.3",
"Anderson, Tim","641313","2023","493","121","100","18","2","1","122",".245",".296",".286","0.582","25","146","2","13","373","52",,".324","11",2.9,,"27.2",
"Bellinger, Cody","641355","2023","499","153","97","29","1","26","87",".307",".525",".356","0.881","97","262","6","20","424","95",,".361","26",6.1,"4","28.3",
"Crawford, J.P.","641487","2023","534","142","88","35","0","19","125",".266",".438",".380","0.818","65","234","0","2","414","94",,".345","20",4.8,,"26.7",
